Algorithm	File	Fitness	Time(ms)
AM-(10,0.1)	GKD-b_8_n25_m7	20.7561	125
AM-(10,0.1)	GKD-b_9_n25_m7	24.7629	128
AM-(10,0.1)	GKD-b_10_n25_m7	27.3163	154
AM-(10,0.1)	GKD-b_11_n50_m5	8.15114	217
AM-(10,0.1)	GKD-b_12_n50_m5	9.59686	220
AM-(10,0.1)	GKD-b_13_n50_m5	9.13369	223
AM-(10,0.1)	GKD-b_14_n50_m5	8.85229	225
AM-(10,0.1)	GKD-b_15_n50_m5	8.39763	225
AM-(10,0.1)	GKD-b_16_n50_m15	59.4601	318
AM-(10,0.1)	GKD-b_17_n50_m15	51.3348	311
AM-(10,0.1)	GKD-b_18_n50_m15	62.5265	311
AM-(10,0.1)	GKD-b_19_n50_m15	75.2158	312
AM-(10,0.1)	GKD-b_20_n50_m15	66.9612	312
AM-(10,0.1)	GKD-b_21_n100_m10	24.2452	337
AM-(10,0.1)	GKD-b_22_n100_m10	29.1216	339
AM-(10,0.1)	GKD-b_23_n100_m10	30.9657	335
AM-(10,0.1)	GKD-b_24_n100_m10	66.7245	339
AM-(10,0.1)	GKD-b_25_n100_m10	26.1877	335
AM-(10,0.1)	GKD-b_26_n100_m30	194.097	1024
AM-(10,0.1)	GKD-b_27_n100_m30	156.942	1035
AM-(10,0.1)	GKD-b_28_n100_m30	128.778	1040
AM-(10,0.1)	GKD-b_29_n100_m30	174.061	1157
AM-(10,0.1)	GKD-b_30_n100_m30	155.023	1070
AM-(10,0.1)	GKD-b_31_n125_m12	29.3763	459
AM-(10,0.1)	GKD-b_32_n125_m12	36.3711	449
AM-(10,0.1)	GKD-b_33_n125_m12	34.1888	442
AM-(10,0.1)	GKD-b_34_n125_m12	33.7995	449
AM-(10,0.1)	GKD-b_35_n125_m12	34.5576	439
AM-(10,0.1)	GKD-b_36_n125_m37	185.474	1686
AM-(10,0.1)	GKD-b_37_n125_m37	256.391	1718
AM-(10,0.1)	GKD-b_38_n125_m37	247.015	1678
AM-(10,0.1)	GKD-b_39_n125_m37	233.255	1663
AM-(10,0.1)	GKD-b_40_n125_m37	235.187	1847
AM-(10,0.1)	GKD-b_41_n150_m15	45.2482	665
AM-(10,0.1)	GKD-b_42_n150_m15	47.0633	662
AM-(10,0.1)	GKD-b_43_n150_m15	105.86	666
AM-(10,0.1)	GKD-b_44_n150_m15	41.2778	663
AM-(10,0.1)	GKD-b_45_n150_m15	44.1437	698
AM-(10,0.1)	GKD-b_46_n150_m45	318.049	2632
AM-(10,0.1)	GKD-b_47_n150_m45	296.572	2668
AM-(10,0.1)	GKD-b_48_n150_m45	279.022	2607
AM-(10,0.1)	GKD-b_49_n150_m45	359.025	2623
AM-(10,0.1)	GKD-b_50_n150_m45	297.002	2782
AM-(10,0.1mej)	GKD-b_1_n25_m2	0	161
AM-(10,0.1mej)	GKD-b_2_n25_m2	0	131
AM-(10,0.1mej)	GKD-b_3_n25_m2	0	120
AM-(10,0.1mej)	GKD-b_4_n25_m2	0	133
AM-(10,0.1mej)	GKD-b_5_n25_m2	0	131
AM-(10,0.1mej)	GKD-b_6_n25_m7	29.0115	167
AM-(10,0.1mej)	GKD-b_7_n25_m7	24.8449	241
AM-(10,0.1mej)	GKD-b_8_n25_m7	26.6958	202
AM-(10,0.1mej)	GKD-b_9_n25_m7	29.3887	153
AM-(10,0.1mej)	GKD-b_10_n25_m7	29.8733	188
AM-(10,0.1mej)	GKD-b_11_n50_m5	8.71691	207
AM-(10,0.1mej)	GKD-b_12_n50_m5	12.3753	259
AM-(10,0.1mej)	GKD-b_13_n50_m5	9.84342	197
AM-(10,0.1mej)	GKD-b_14_n50_m5	9.25886	215
AM-(10,0.1mej)	GKD-b_15_n50_m5	11.4527	229
AM-(10,0.1mej)	GKD-b_16_n50_m15	74.4695	299
AM-(10,0.1mej)	GKD-b_17_n50_m15	63.0808	348
AM-(10,0.1mej)	GKD-b_18_n50_m15	67.3849	355
AM-(10,0.1mej)	GKD-b_19_n50_m15	71.4904	356
AM-(10,0.1mej)	GKD-b_20_n50_m15	64.157	323
AM-(10,0.1mej)	GKD-b_21_n100_m10	30.597	385
AM-(10,0.1mej)	GKD-b_22_n100_m10	31.499	352
AM-(10,0.1mej)	GKD-b_23_n100_m10	31.2434	336
AM-(10,0.1mej)	GKD-b_24_n100_m10	34.4096	344
AM-(10,0.1mej)	GKD-b_25_n100_m10	28.8812	327
AM-(10,0.1mej)	GKD-b_26_n100_m30	191.541	1194
AM-(10,0.1mej)	GKD-b_27_n100_m30	151.003	1191
AM-(10,0.1mej)	GKD-b_28_n100_m30	160.705	1428
AM-(10,0.1mej)	GKD-b_29_n100_m30	199.724	1129
AM-(10,0.1mej)	GKD-b_30_n100_m30	171.895	1074
AM-(10,0.1mej)	GKD-b_31_n125_m12	25.7894	563
AM-(10,0.1mej)	GKD-b_32_n125_m12	36.3639	541
AM-(10,0.1mej)	GKD-b_33_n125_m12	38.1139	485
AM-(10,0.1mej)	GKD-b_34_n125_m12	39.0378	495
AM-(10,0.1mej)	GKD-b_35_n125_m12	42.105	466
AM-(10,0.1mej)	GKD-b_36_n125_m37	215.585	1883
AM-(10,0.1mej)	GKD-b_37_n125_m37	293.195	1572
AM-(10,0.1mej)	GKD-b_38_n125_m37	253.518	1800
AM-(10,0.1mej)	GKD-b_39_n125_m37	235.056	1822
AM-(10,0.1mej)	GKD-b_40_n125_m37	274.993	1812
AM-(10,0.1mej)	GKD-b_41_n150_m15	53.8563	751
AM-(10,0.1mej)	GKD-b_42_n150_m15	46.1216	682
AM-(10,0.1mej)	GKD-b_43_n150_m15	53.7335	702
AM-(10,0.1mej)	GKD-b_44_n150_m15	45.1584	762
AM-(10,0.1mej)	GKD-b_45_n150_m15	43.5394	714
AM-(10,0.1mej)	GKD-b_46_n150_m45	341.105	2845
AM-(10,0.1mej)	GKD-b_47_n150_m45	298.794	2943
AM-(10,0.1mej)	GKD-b_48_n150_m45	321.336	2856
AM-(10,0.1mej)	GKD-b_49_n150_m45	344.197	2977
AM-(10,0.1mej)	GKD-b_50_n150_m45	352.547	2874
