Algorithm	File	Fitness	Time(ms)
AM-(10,1.0)	GKD-b_43_n150_m15	34.2851	2395
AM-(10,1.0)	GKD-b_44_n150_m15	37.201	2551
AM-(10,1.0)	GKD-b_45_n150_m15	36.6193	2372
AM-(10,1.0)	GKD-b_46_n150_m45	251.897	12392
AM-(10,1.0)	GKD-b_47_n150_m45	244.705	12447
AM-(10,1.0)	GKD-b_48_n150_m45	293.406	12446
AM-(10,1.0)	GKD-b_49_n150_m45	249.117	12439
AM-(10,1.0)	GKD-b_50_n150_m45	292.827	13057
AM-(10,0.1)	GKD-b_1_n25_m2	0	125
AM-(10,0.1)	GKD-b_2_n25_m2	0	115
AM-(10,0.1)	GKD-b_3_n25_m2	0	100
AM-(10,0.1)	GKD-b_4_n25_m2	0	104
AM-(10,0.1)	GKD-b_5_n25_m2	0	99
AM-(10,0.1)	GKD-b_6_n25_m7	14.4106	125
AM-(10,0.1)	GKD-b_7_n25_m7	18.9501	129
AM-(10,0.1)	GKD-b_8_n25_m7	20.7561	126
AM-(10,0.1)	GKD-b_9_n25_m7	24.7629	129
AM-(10,0.1)	GKD-b_10_n25_m7	27.3163	156
AM-(10,0.1)	GKD-b_11_n50_m5	8.15114	219
AM-(10,0.1)	GKD-b_12_n50_m5	9.59686	224
AM-(10,0.1)	GKD-b_13_n50_m5	9.13369	224
AM-(10,0.1)	GKD-b_14_n50_m5	8.85229	225
AM-(10,0.1)	GKD-b_15_n50_m5	8.39763	230
AM-(10,0.1)	GKD-b_16_n50_m15	59.4601	316
AM-(10,0.1)	GKD-b_17_n50_m15	51.3348	313
AM-(10,0.1)	GKD-b_18_n50_m15	62.5265	312
AM-(10,0.1)	GKD-b_19_n50_m15	75.2158	315
AM-(10,0.1)	GKD-b_20_n50_m15	66.9612	311
AM-(10,0.1)	GKD-b_21_n100_m10	24.2452	341
AM-(10,0.1)	GKD-b_22_n100_m10	29.1216	361
AM-(10,0.1)	GKD-b_23_n100_m10	30.9657	339
AM-(10,0.1)	GKD-b_24_n100_m10	66.7245	339
AM-(10,0.1)	GKD-b_25_n100_m10	26.1877	338
AM-(10,0.1)	GKD-b_26_n100_m30	194.097	1031
AM-(10,0.1)	GKD-b_27_n100_m30	156.942	1085
AM-(10,0.1)	GKD-b_28_n100_m30	128.778	1371
AM-(10,0.1)	GKD-b_29_n100_m30	174.061	1247
AM-(10,0.1)	GKD-b_30_n100_m30	155.023	1054
AM-(10,0.1)	GKD-b_31_n125_m12	29.3763	531
AM-(10,0.1)	GKD-b_32_n125_m12	36.3711	553
AM-(10,0.1)	GKD-b_33_n125_m12	34.1888	566
AM-(10,0.1)	GKD-b_34_n125_m12	33.7995	464
AM-(10,0.1)	GKD-b_35_n125_m12	34.5576	447
AM-(10,0.1)	GKD-b_36_n125_m37	185.474	1799
AM-(10,0.1)	GKD-b_37_n125_m37	256.391	1926
AM-(10,0.1)	GKD-b_38_n125_m37	247.015	1885
AM-(10,0.1)	GKD-b_39_n125_m37	233.255	2337
AM-(10,0.1)	GKD-b_40_n125_m37	235.187	1793
AM-(10,0.1)	GKD-b_41_n150_m15	45.2482	721
AM-(10,0.1)	GKD-b_42_n150_m15	47.0633	729
AM-(10,0.1)	GKD-b_43_n150_m15	105.86	677
AM-(10,0.1)	GKD-b_44_n150_m15	41.2778	706
AM-(10,0.1)	GKD-b_45_n150_m15	44.1437	782
AM-(10,0.1)	GKD-b_46_n150_m45	318.049	3145
AM-(10,0.1)	GKD-b_47_n150_m45	296.572	3116
AM-(10,0.1)	GKD-b_48_n150_m45	279.022	2899
AM-(10,0.1)	GKD-b_49_n150_m45	359.025	2857
AM-(10,0.1)	GKD-b_50_n150_m45	297.002	3101
AM-(10,0.1mej)	GKD-b_1_n25_m2	0	140
AM-(10,0.1mej)	GKD-b_2_n25_m2	0	128
AM-(10,0.1mej)	GKD-b_3_n25_m2	0	125
AM-(10,0.1mej)	GKD-b_4_n25_m2	0	136
AM-(10,0.1mej)	GKD-b_5_n25_m2	0	131
AM-(10,0.1mej)	GKD-b_6_n25_m7	29.0115	130
AM-(10,0.1mej)	GKD-b_7_n25_m7	24.8449	141
AM-(10,0.1mej)	GKD-b_8_n25_m7	26.6958	143
AM-(10,0.1mej)	GKD-b_9_n25_m7	29.3887	137
AM-(10,0.1mej)	GKD-b_10_n25_m7	29.8733	140
AM-(10,0.1mej)	GKD-b_11_n50_m5	8.71691	188
AM-(10,0.1mej)	GKD-b_12_n50_m5	12.3753	187
AM-(10,0.1mej)	GKD-b_13_n50_m5	9.84342	175
AM-(10,0.1mej)	GKD-b_14_n50_m5	9.25886	178
AM-(10,0.1mej)	GKD-b_15_n50_m5	11.4527	181
AM-(10,0.1mej)	GKD-b_16_n50_m15	74.4695	330
AM-(10,0.1mej)	GKD-b_17_n50_m15	63.0808	310
AM-(10,0.1mej)	GKD-b_18_n50_m15	67.3849	316
AM-(10,0.1mej)	GKD-b_19_n50_m15	71.4904	271
AM-(10,0.1mej)	GKD-b_20_n50_m15	64.157	313
AM-(10,0.1mej)	GKD-b_21_n100_m10	30.597	383
AM-(10,0.1mej)	GKD-b_22_n100_m10	31.499	365
AM-(10,0.1mej)	GKD-b_23_n100_m10	31.2434	354
AM-(10,0.1mej)	GKD-b_24_n100_m10	34.4096	347
AM-(10,0.1mej)	GKD-b_25_n100_m10	28.8812	332
AM-(10,0.1mej)	GKD-b_26_n100_m30	191.541	992
AM-(10,0.1mej)	GKD-b_27_n100_m30	151.003	1019
AM-(10,0.1mej)	GKD-b_28_n100_m30	160.705	1014
AM-(10,0.1mej)	GKD-b_29_n100_m30	199.724	1052
AM-(10,0.1mej)	GKD-b_30_n100_m30	171.895	1035
AM-(10,0.1mej)	GKD-b_31_n125_m12	25.7894	475
AM-(10,0.1mej)	GKD-b_32_n125_m12	36.3639	470
AM-(10,0.1mej)	GKD-b_33_n125_m12	38.1139	477
AM-(10,0.1mej)	GKD-b_34_n125_m12	39.0378	592
AM-(10,0.1mej)	GKD-b_35_n125_m12	42.105	717
AM-(10,0.1mej)	GKD-b_36_n125_m37	215.585	2212
AM-(10,0.1mej)	GKD-b_37_n125_m37	293.195	1661
AM-(10,0.1mej)	GKD-b_38_n125_m37	253.518	1841
AM-(10,0.1mej)	GKD-b_39_n125_m37	235.056	1789
AM-(10,0.1mej)	GKD-b_40_n125_m37	274.993	1616
AM-(10,0.1mej)	GKD-b_41_n150_m15	53.8563	807
AM-(10,0.1mej)	GKD-b_42_n150_m15	46.1216	701
AM-(10,0.1mej)	GKD-b_43_n150_m15	53.7335	705
AM-(10,0.1mej)	GKD-b_44_n150_m15	45.1584	691
AM-(10,0.1mej)	GKD-b_45_n150_m15	43.5394	738
AM-(10,0.1mej)	GKD-b_46_n150_m45	341.105	2660
AM-(10,0.1mej)	GKD-b_47_n150_m45	298.794	2681
AM-(10,0.1mej)	GKD-b_48_n150_m45	321.336	2775
AM-(10,0.1mej)	GKD-b_49_n150_m45	344.197	2751
AM-(10,0.1mej)	GKD-b_50_n150_m45	352.547	2593
